Sample in Buffer,Sample in Window,TRIGGER,cnn_core/start_i,cnn_core/conv_weight_ch1[199:0],cnn_core/conv_weight_ch2[199:0],cnn_core/conv_weight_ch3[199:0],cnn_core/FC_Weight_1[79:0],cnn_core/FC_Weight[79:0],cnn_core/FC_Bias[79:0],cnn_core/PE_data_in[71:0],cnn_core/Image_6rows[71:0],cnn_core/BUF1_out1[71:0],cnn_core/BUF1_out2[71:0],cnn_core/BUF1_out3[71:0],cnn_core/conv_weight_ch1_packed[39:0],cnn_core/conv_weight_ch2_packed[39:0],cnn_core/conv_weight_ch3_packed[39:0],cnn_core/bias_in[23:0],cnn_core/conv_out1[23:0],cnn_core/conv_out2[23:0],cnn_core/conv_out3[23:0],cnn_core/FIFO_out1[23:0],cnn_core/FIFO_out2[23:0],cnn_core/FIFO_out3[23:0],cnn_core/MAX_out1[11:0],cnn_core/MAX_out2[11:0],cnn_core/MAX_out3[11:0],cnn_core/BUF2_out1[11:0],cnn_core/BUF2_out2[11:0],cnn_core/BUF2_out3[11:0],cnn_core/FC_data[11:0],cnn_core/PE_addr[4:0],cnn_core/Weight_addr[4:0],cnn_core/Conv_Layer[2:0],cnn_core/Layer_change,cnn_core/Weight_packed_en,cnn_core/FIFO_valid,cnn_core/BUF1_rd_en,cnn_core/BUF1_wr_en_1,cnn_core/BUF2_rd_en,cnn_core/BUF2_wr_en,cnn_core/PE_clear,cnn_core/PE_en,cnn_core/PE_valid_i,cnn_core/PE_valid_o,cnn_core/conv_done,cnn_core/FC_done,cnn_core/done,cnn_core/Bias_Sel,cnn_core/acc_wr_en,cnn_core/acc_rd_en,cnn_core/Slide_wr_en,cnn_core/Slide_rd_en,cnn_core/Slide_trigger,cnn_core/Slide_clear,cnn_core/BUF1_wr_en
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,fc0608ffe9,e005236021,161cf90afc,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,1101ec05ec,fd1a355a06,181d3a4d3a,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,f7e711faf4,171c2d342c,023945532a,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,f7e711faf4,171c2d342c,023945532a,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,f7e711faf4,171c2d342c,023945532a,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,0d0f16f2f7,e6e01d5047,2a2be3b4b4,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,fc0608ffe9,e005236021,161cf90afc,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,1101ec05ec,fd1a355a06,181d3a4d3a,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,f7e711faf4,171c2d342c,023945532a,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,f9ee0de9fc0d0f16f2f7fc0608ffe91101ec05ecf7e711faf4,00f1295c4fe6e01d5047e005236021fd1a355a06171c2d342c,1d08e8e8e82a2be3b4b4161cf90afc181d3a4d3a023945532a,00000000000000000000,00000000000000000000,00000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,000000000000000000,f7e711faf4,171c2d342c,023945532a,eb000c,febfeb,000000,00c00c,000000,000000,000000,000,000,000,000,000,000,000,00,04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
